x,I_ref
-1.000000,0.04978707
-0.990000,0.04780316
-0.980000,0.03669662
-0.970000,0.02053782
-0.960000,0.00601489
-0.950000,0.00000000
-0.940000,0.00674120
-0.930000,0.02579725
-0.920000,0.05166004
-0.910000,0.07542145
-0.900000,0.08803683
-0.890000,0.08402309
-0.880000,0.06411540
-0.870000,0.03566850
-0.860000,0.01038370
-0.850000,0.00000000
-0.840000,0.01149874
-0.830000,0.04374022
-0.820000,0.08706758
-0.810000,0.12635453
-0.800000,0.14660696
-0.790000,0.13908590
-0.780000,0.10549722
-0.770000,0.05833884
-0.760000,0.01688182
-0.750000,0.00000000
-0.740000,0.01847165
-0.730000,0.06984427
-0.720000,0.13819760
-0.710000,0.19935591
-0.700000,0.22992549
-0.690000,0.21682524
-0.680000,0.16347900
-0.670000,0.08986136
-0.660000,0.02584810
-0.650000,0.00000000
-0.640000,0.02794497
-0.630000,0.10503231
-0.620000,0.20657934
-0.610000,0.29621682
-0.600000,0.33959553
-0.590000,0.31833099
-0.580000,0.23857520
-0.570000,0.13035585
-0.560000,0.03727181
-0.550000,0.00000000
-0.540000,0.03981474
-0.530000,0.14875015
-0.520000,0.29081420
-0.510000,0.41450776
-0.500000,0.47236655
-0.490000,0.44013949
-0.480000,0.32789209
-0.470000,0.17808626
-0.460000,0.05061446
-0.450000,0.00000000
-0.440000,0.05342278
-0.430000,0.19839660
-0.420000,0.38555528
-0.410000,0.54625817
-0.400000,0.61878339
-0.390000,0.57311804
-0.380000,0.42440346
-0.370000,0.22912508
-0.360000,0.06473081
-0.350000,0.00000000
-0.340000,0.06750740
-0.330000,0.24920306
-0.320000,0.48139328
-0.310000,0.67796231
-0.300000,0.76337949
-0.290000,0.70281359
-0.280000,0.51733186
-0.270000,0.27762410
-0.260000,0.07796323
-0.250000,0.00000000
-0.240000,0.08033756
-0.230000,0.29479142
-0.220000,0.56605122
-0.210000,0.79242011
-0.200000,0.88692044
-0.190000,0.81166825
-0.180000,0.59388433
-0.170000,0.31679917
-0.160000,0.08843230
-0.150000,0.00000000
-0.140000,0.09003849
-0.130000,0.32841171
-0.120000,0.62683576
-0.110000,0.87226362
-0.100000,0.97044553
-0.090000,0.88279384
-0.080000,0.64206180
-0.070000,0.34044992
-0.060000,0.09446574
-0.050000,0.00000000
-0.040000,0.09503424
-0.030000,0.34455993
-0.020000,0.65372356
-0.010000,0.90423719
0.000000,1.00000000
0.010000,0.90423719
0.020000,0.65372356
0.030000,0.34455993
0.040000,0.09503424
0.050000,0.00000000
0.060000,0.09446574
0.070000,0.34044992
0.080000,0.64206180
0.090000,0.88279384
0.100000,0.97044553
0.110000,0.87226362
0.120000,0.62683576
0.130000,0.32841171
0.140000,0.09003849
0.150000,0.00000000
0.160000,0.08843230
0.170000,0.31679917
0.180000,0.59388433
0.190000,0.81166825
0.200000,0.88692044
0.210000,0.79242011
0.220000,0.56605122
0.230000,0.29479142
0.240000,0.08033756
0.250000,0.00000000
0.260000,0.07796323
0.270000,0.27762410
0.280000,0.51733186
0.290000,0.70281359
0.300000,0.76337949
0.310000,0.67796231
0.320000,0.48139328
0.330000,0.24920306
0.340000,0.06750740
0.350000,0.00000000
0.360000,0.06473081
0.370000,0.22912508
0.380000,0.42440346
0.390000,0.57311804
0.400000,0.61878339
0.410000,0.54625817
0.420000,0.38555528
0.430000,0.19839660
0.440000,0.05342278
0.450000,0.00000000
0.460000,0.05061446
0.470000,0.17808626
0.480000,0.32789209
0.490000,0.44013949
0.500000,0.47236655
0.510000,0.41450776
0.520000,0.29081420
0.530000,0.14875015
0.540000,0.03981474
0.550000,0.00000000
0.560000,0.03727181
0.570000,0.13035585
0.580000,0.23857520
0.590000,0.31833099
0.600000,0.33959553
0.610000,0.29621682
0.620000,0.20657934
0.630000,0.10503231
0.640000,0.02794497
0.650000,0.00000000
0.660000,0.02584810
0.670000,0.08986136
0.680000,0.16347900
0.690000,0.21682524
0.700000,0.22992549
0.710000,0.19935591
0.720000,0.13819760
0.730000,0.06984427
0.740000,0.01847165
0.750000,0.00000000
0.760000,0.01688182
0.770000,0.05833884
0.780000,0.10549722
0.790000,0.13908590
0.800000,0.14660696
0.810000,0.12635453
0.820000,0.08706758
0.830000,0.04374022
0.840000,0.01149874
0.850000,0.00000000
0.860000,0.01038370
0.870000,0.03566850
0.880000,0.06411540
0.890000,0.08402309
0.900000,0.08803683
0.910000,0.07542145
0.920000,0.05166004
0.930000,0.02579725
0.940000,0.00674120
0.950000,0.00000000
0.960000,0.00601489
0.970000,0.02053782
0.980000,0.03669662
0.990000,0.04780316
1.000000,0.04978707